,id,Name,boostered,change-weekly,at_least_one_dose,two_doses
157,30103,Wynnum - Manly,59.6,1.9,95.0,93.8
158,30201,Bald Hills - Everton Park,63.0,1.6,95.0,93.9
159,30202,Chermside,60.6,1.6,93.3,92.0
160,30203,Nundah,57.4,1.8,91.6,90.2
161,30204,Sandgate,57.6,1.8,94.6,93.0
162,30301,Carindale,61.6,1.4,92.6,91.5
163,30302,Holland Park - Yeronga,56.2,1.3,87.2,85.7
164,30303,Mt Gravatt,54.6,1.6,93.1,91.4
165,30304,Nathan,55.4,1.4,87.6,86.3
166,30305,Rocklea - Acacia Ridge,50.9,1.8,95.0,94.8
167,30306,Sunnybank,49.5,1.9,94.9,92.8
168,30401,Centenary,66.6,1.4,95.0,95.0
169,30402,Kenmore - Brookfield - Moggill,70.0,0.1,95.0,95.0
170,30403,Sherwood - Indooroopilly,57.2,1.4,83.4,82.1
171,30404,The Gap - Enoggera,65.3,1.7,94.0,93.0
172,30501,Brisbane Inner,53.9,1.8,89.2,87.0
173,30502,Brisbane Inner - East,58.7,1.6,88.2,87.1
174,30503,Brisbane Inner - North,56.1,1.5,85.1,83.9
175,30504,Brisbane Inner - West,62.2,1.2,89.0,88.0
176,30601,Cairns - North,56.3,1.6,92.8,91.2
177,30602,Cairns - South,51.9,2.0,95.0,94.5
178,30603,Innisfail - Cassowary Coast,48.4,1.3,92.9,89.8
179,30604,Port Douglas - Daintree,51.4,1.5,91.7,89.7
180,30605,Tablelands (East) - Kuranda,54.2,1.9,95.0,93.6
181,30701,Darling Downs (West) - Maranoa,54.7,1.5,94.9,92.9
182,30702,Darling Downs - East,53.6,2.1,95.0,95.0
183,30703,Granite Belt,50.9,1.4,95.0,95.0
184,30801,Central Highlands (Qld),36.9,1.3,87.2,84.2
185,30803,Rockhampton,50.1,1.8,93.5,91.4
186,30804,Biloela,41.5,1.2,89.2,86.9
187,30805,Gladstone,46.1,2.0,94.0,91.9
188,30901,Broadbeach - Burleigh,48.7,1.3,93.4,91.5
189,30902,Coolangatta,47.5,1.4,91.4,89.6
190,30903,Gold Coast - North,51.6,1.5,90.2,88.2
191,30904,Gold Coast Hinterland,48.1,1.3,86.1,84.3
192,30905,Mudgeeraba - Tallebudgera,45.0,1.2,89.8,87.9
193,30906,Nerang,42.2,1.2,87.0,85.1
194,30907,Ormeau - Oxenford,44.1,1.6,90.5,88.5
195,30908,Robina,43.6,1.2,86.3,84.4
196,30909,Southport,45.1,1.4,91.3,89.1
197,30910,Surfers Paradise,46.1,1.5,87.3,85.2
198,31001,Forest Lake - Oxley,49.2,1.9,90.9,88.8
199,31002,Ipswich Hinterland,49.2,2.6,90.7,88.9
200,31003,Ipswich Inner,52.6,1.9,95.0,93.3
201,31004,Springfield - Redbank,45.5,2.3,93.4,91.0
202,31101,Beaudesert,47.5,1.8,87.6,85.6
203,31102,Beenleigh,44.2,2.0,92.5,90.1
204,31103,Browns Plains,41.6,2.0,95.0,93.3
205,31104,Jimboomba,42.6,1.8,91.2,89.3
206,31105,Loganlea - Carbrook,44.7,1.7,90.9,88.8
207,31106,Springwood - Kingston,44.8,1.7,95.0,92.5
208,31201,Bowen Basin - North,36.4,1.7,85.2,82.7
209,31202,Mackay,49.1,1.9,95.0,95.0
210,31203,Whitsunday,41.6,1.0,86.6,84.7
211,31301,Bribie - Beachmere,69.3,1.4,95.0,95.0
212,31302,Caboolture,48.9,2.2,94.7,92.6
213,31303,Caboolture Hinterland,41.6,2.0,81.2,79.6
214,31304,Narangba - Burpengary,52.3,1.9,95.0,94.8
215,31305,Redcliffe,61.9,1.8,95.0,95.0
216,31401,The Hills District,63.5,1.6,95.0,95.0
217,31402,North Lakes,50.0,1.8,89.8,88.1
218,31403,Strathpine,54.9,2.0,95.0,95.0
219,31501,Far North,33.5,1.5,67.6,63.9
220,31502,Outback - North,41.4,1.6,91.2,86.7
221,31503,Outback - South,62.9,1.8,95.0,93.3
222,31601,Buderim,54.0,1.4,90.7,89.2
